a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-108282,2019-09-24,2019-10-29,['60'],acquisition d'un truss motorisé pour la salle de la manufacture à l'espace culturel la faïencerie,mapa,cmp2006,appeloffre,initial,Ville de Creil,60109,Creil cedex,"['Equipements spécialisés', 'Produits travail des métaux']","[115, 281]",non,non
19-144730,2019-09-24,2019-11-25,['60'],"Entretien courant et exécution de revêtements superficiels des voiries communales (52 communes), des voiries dites d'intérêts communautaires et privées (60 km de voirie) situées sur le territoire",fns,cmp2006,appeloffre,initial,COMMUNAUTE DE COMMUNES DU PLAT PICARD,60132,St just en chaussée,['Voirie'],[365],non,non
19-145143,2019-09-24,2019-10-23,['60'],Numéro de la consultation : 2019-TX-0010 FOURNITURE ET INSTALLATION D'UN SYSTÈME DE VIDEOPROTECTION,fns,cmp2006,appeloffre,initial,Mairie d'Andeville,60570,ANDEVILLE,"['Câblage', 'Fibre optique', 'Logiciel', 'Matériel de transmission', 'Télésurveillance']","[47, 133, 186, 210, 415]",non,non
19-144896,2019-09-24,2019-10-11,"['60', '80']",fourniture de matériel de cuisson,mapa,cmp2006,appeloffre,initial,GCSMC,60600,clermont,['Cuisine (équipement)'],[77],non,non
19-144804,2019-09-24,2019-12-22,['61'],Numéro de la consultation : 1_2019034 Travaux d'aménagement de la zone humide de la Fuie des Vignes,fns,cmp2006,attribution,initial,Ville d'Alençon,61014,Alençon,['Travaux de viabilité'],[353],non,non
19-144980,2019-09-24,2019-10-24,['62'],Mission de coordination en matière de sécurité et de protection de la santé relative à la construction d'une extension de l'IUT de Lens.,fns,cmp2006,attribution,initial,Université d'Artois,62030,Arras cedex,"[""Mission d'ordonnancement, pilotage, coordination (OPC)""]",[234],non,non
19-144605,2019-09-24,2019-10-25,['62'],construction d'une salle de classe et bibliothèque et d'un auvent,mapa,cmp2006,appeloffre,initial,Mairie de VIEILLE-EGLISE,62162,Vieille-église,['Bâtiment'],[33],non,non
19-144701,2019-09-24,2019-10-22,['62'],"Fourniture et pose de signalisation verticale et horizontale pour les voiries communales, maintenance du patrimoine et aménagements",fns,cmp2006,appeloffre,initial,COMMUNE DE HARNES,62212,Carvin,['Signalisation'],[322],non,non
19-144582,2019-09-24,2019-10-16,['62'],Remplacement des menuiseries extérieures au rez-de-chaussée de la salle Coubertin du Stade Léo Lagrange - PT19054,fns,cmp2006,appeloffre,initial,Ville de lens,62300,Lens,['Menuiserie'],[222],non,non
19-145179,2019-09-24,2019-10-17,['62'],Fournitures et gestion des abonnements aux périodiques,fns,cmp2006,appeloffre,initial,Mairie de LIEVIN,62800,LIEVIN,['Abonnement'],[2],non,non
19-144634,2019-09-24,2019-10-21,['62'],19M037 - Maintenance préventive et curative des hottes d'extraction et des équipements de cuisine. Groupement de commande entre la Ville de LIEVIN et le C.C.A.S,fns,cmp2006,appeloffre,initial,Mairie de LIEVIN,62800,LIEVIN,['Maintenance'],[196],non,non
19-144786,2019-09-24,2019-10-15,['63'],Travaux de plomberie dans les bâtiments de Clermont Auvergne Métropole,fns,cmp2006,appeloffre,initial,Clermont Auvergne Métropole,63007,CLERMONT-FERRAND,['Plomberie (travaux)'],[270],non,non
19-142979,2019-09-24,2019-10-23,['63'],maintenance des vérins tripodes et des crics hydrauliques de l'AIA CF et du détachement de Toul-Phalsbourg (DTP),joue,directive81,appeloffre,initial,MINDEF/AIR/SIAé,63028,CLERMONT-FERRAND CEDEX 2,"['Equipement hydraulique', 'Maintenance']","[111, 196]",non,non
19-144962,2019-09-24,2019-10-15,['63'],Travaux de remplacement de portes automatiques,mapa,cmp2006,appeloffre,initial,REGIE T2C,63063,CLERMONT-FERRAND,"['Porte automatique, portail']",[412],non,oui
19-144869,2019-09-24,2019-10-11,['63'],"Numéro de la consultation : RLV19-038 Acquisition, installation, formation et maintenance de matériels en vue de la création d'un Fab Lab",fns,cmp2006,appeloffre,initial,CC RIOM LIMAGNE ET VOLCANS,63201,Riom cedex,"['Informatique (matériel)', 'Logiciel', ""Matériel d'imprimerie""]","[162, 186, 211]",non,non
19-145160,2019-09-24,2019-10-17,['63'],Confection de repas individuels avec livraison et dépôt dans une armoire frigorifique mise à disposition par le prestataire sur site pour le portage de repas à domicile,fns,cmp2006,appeloffre,initial,CCAS AULNAT,63510,AULNAT,['Restauration collective'],[66],non,non
19-145069,2019-09-24,2019-11-04,['64'],"fourniture, livraison, installation et montage de mobiliers pour le restaurant d'application, l'accueil de l'hôtel d'application et le snacking.",fns,cmp2006,appeloffre,initial,LYCEE BIARRITZ ATLANTIQUE,64200,Biarritz,['Mobilier'],[230],non,non
19-144814,2019-09-24,2019-11-04,['64'],Amélioration et sécurisation de la station d'épuration de Tarsacq,fns,cmp2006,appeloffre,initial,SM EAU ASSAINISSEMENT GAVE BAISE,64360,Tarsacq,"['Assainissement', ""Station d'épuration (travaux)""]","[18, 328]",non,non
19-144833,2019-09-24,2019-10-21,['66'],PRESTATIONS D'ASSURANCE POUR LES STRUCTURES GEREES PAR L'EPMR:- IME ' SOLEIL DES PYRENEESET- SESSAD ' MES BE ',fns,cmp2006,appeloffre,initial,EPMR,66000,Perpignan,['Assurance'],[20],non,non
19-144873,2019-09-24,2019-10-24,['66'],AMÉNAGEMENT DES ABORDS DE L'AQUARIUM ONIRIA,fns,cmp2006,appeloffre,initial,Ville de Canet-en-Roussillon,66145,Canet-en-Roussillon,"['Eclairage public', 'Espaces verts', 'Mobilier urbain', 'Signalisation']","[102, 116, 231, 322]",non,non
19-145197,2019-09-24,2019-10-25,['66'],"accord-cadre mono-attributaire pour la réalisation de missions de conseils, d'études et de maîtrise d'oeuvre",fns,cmp2006,appeloffre,initial,COMMUNE DE COLLIOURE,66190,COLLIOURE,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144957,2019-09-24,2019-10-29,['66'],MAÎTRISE D'OEUVRE POUR LA RESTRUCTURATION DU BÂTIMENT 'SEGPA' ET DU R.D.C. DU BÂTIMENT ENSEIGNEMENT - COLLEGE 'PONS' A PERPIGNAN,fns,cmp2006,appeloffre,initial,DEPARTEMENT DES PYRENEES-ORIENTALES,66906,PERPIGNAN,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144716,2019-09-24,2019-12-22,['66'],PRESTATION DE DÉVELOPPEMENTS INFORMATIQUES,fns,cmp2006,attribution,initial,DEPARTEMENT DES PYRENEES-ORIENTALES,66906,PERPIGNAN,['Informatique (prestations de services)'],[163],non,non
19-145030,2019-09-24,2019-10-24,['67'],Formation à la conduite de véhicules,fns,cmp2006,attribution,initial,Eurométropole de Strasbourg,67076,STRASBOURG CEDEX,['Formation'],[410],non,non
19-144808,2019-09-24,2019-10-24,['67'],PRESTATION DE RESTAURATION DÉLÉGUÉE DE L EHPAD SANS SOUCI DE GEISPOLSHEIM,fns,cmp2006,appeloffre,initial,EHPAD Sans Souci - CMRP (67),67118,Geispolsheim,"['Abonnement', 'Restauration collective']","[2, 66]",non,oui
19-144226,2019-09-24,2019-10-22,['67'],maîtrise d'oeuvre en vue de la réalisation d'un aménagement pour cyclistes entre lobsann et soultz-sous-forêts (67250),mapa,cmp2006,appeloffre,initial,Communauté de cnes Sauer-Pechelbronn,67360,Durrenbach,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144563,2019-09-24,2019-10-25,['67'],"Prestations d-exploitation, d'évolution et acquisition de modules du progiciel de gestion des ressources humaines ASTRE-RH pour le Département du Bas-Rhin - Bas-Rhin",mapa,cmp2006,attribution,initial,DEPARTEMENT DU BAS RHIN,67964,Strasbourg,['Informatique (prestations de services)'],[163],non,non
19-144995,2019-09-24,2019-10-16,['67'],"Prestations d-exploitation, d'évolution et acquisition de modules du progiciel de gestion des ressources humaines ASTRE-RH pour le Département du Bas-Rhin - Bas-Rhin",mapa,cmp2006,appeloffre,initial,DEPARTEMENT DU BAS RHIN,67964,Strasbourg,['Informatique (prestations de services)'],[163],non,non
19-145123,2019-09-24,2019-10-21,['68'],Maîtrise d'oeuvre :TF : Aménagement du parking de l'église Notre Dame et création d'un chemin piétonnier depuis le parking du CRAC jusqu'à la rue des Remparts TC : Aménagement de,mapa,cmp2006,appeloffre,initial,Commune d'Altkirch,68130,Altkirch,"[""Maîtrise d'oeuvre""]",[197],non,non
19-144724,2019-09-24,2019-12-22,['68'],Entretien des espaces verts de SAINT-LOUIS Agglomération pour l'année 2019,mapa,cmp2006,attribution,initial,SAINT-LOUIS Agglomération,68305,Saint-Louis,['Espaces verts'],[116],non,non
19-144602,2019-09-24,2019-10-15,['68'],déneigement et salage des voiries de la communauté de communes de la région de guebwiller,fns,cmp2006,appeloffre,initial,C.C. de la Région de Guebwiller,68502,Guebwiller cedex,['Déneigement'],[98],non,non
19-145115,2019-09-24,2019-10-04,['69'],Révision du classement sonore routes et tramways département du Rhône et métropole de Lyon,mapa,cmp2006,appeloffre,initial,DIRECTION DEPARTEMENTALE TERRITOIRES,69440,Mornant,['Voirie et réseaux divers'],[366],non,oui
19-144972,2019-09-24,2019-12-22,['69'],"FOURNITURE, INSTALLATION ET MISE EN SERVICE DE DEUX SANITAIRES PUBLICS AUTONOMES A NETTOYAGE AUTOMATIQUE ACCESSIBLES A TOUS SUR LA COMMUNE DE VILLEURBANNE",fns,cmp2006,attribution,initial,Ville de Villeurbanne,69601,VILLEURBANNE,['Mobilier urbain'],[231],non,non
19-145187,2019-09-24,2019-10-15,['69'],Construction d'une salle de spectacles à Vaugneray (69)Relance du Lot N°09 électricité - courants faibles,fns,cmp2006,appeloffre,initial,COM COMMUNES VALLONS DU LYONNAIS,69670,Vaugneray,['Electricité (travaux)'],[105],non,non
19-144744,2019-09-24,2019-10-17,['71'],Prestations d'accompagnement des bénéficiaires du PLIE dans le cadre de la programmation 2020,fns,cmp2006,appeloffre,initial,C.A. Chalon Val de Bourgogne,71106,Chalon sur saone cedex,['Prestations de services'],[274],oui,non
19-145047,2019-09-24,2019-10-21,['72'],"Construction d'une crèche multi-accueil rue de Belgique, quartier des Sablons au Mans",fns,cmp2006,appeloffre,initial,Ville du Mans,72039,Le Mans,['Bâtiment'],[33],non,non
19-145053,2019-09-24,2019-10-17,['72'],"MISE EN OEUVRE, INTÉGRATION ET SUIVI DES SERVICES COLLABORATIFS OFFICE 365 POUR LES BESOINS DU DEPARTEMENT DE LA SARTHE",fns,cmp2006,appeloffre,initial,DEPARTEMENT DE LA SARTHE,72072,Le Mans,['Informatique (prestations de services)'],[163],non,non
19-144610,2019-09-24,2019-10-14,['72'],Accord-cadre à bons de commande de missions de maitrise d'oeuvre des travaux portant sur le patrimoine du Syndicat. Lieu d'exécution : territoire du Syndicat,fns,cmp2006,appeloffre,initial,SIAEP BRAINS SOULIGNE,72550,Coulans sur Gée,['Alimentation en eau potable'],[6],non,non
19-143874,2019-09-24,2019-12-21,['73'],Prestation de traitement d'ordures ménagères par incinération dans une Unité de Valorisation Energétique (Uve),joue,directive24,attribution,initial,Savoie Déchets,73024,Chambery,['Ordures ménagères (prestations)'],[249],non,oui
19-145012,2019-09-24,2019-10-14,['73'],Prestations de services pour des travaux en urgence sur la commune de Val d'Isère,mapa,cmp2006,appeloffre,initial,COMMUNE DE VAL D ISERE,73155,VAL D'ISERE CEDEX,['Prestations de services'],[274],non,non
19-145134,2019-09-24,2019-10-29,['73'],"Prestations d'Assurance pour les Garanties en Dommages aux Biens, en Flotte Automobile, en Responsabilité Civile et en Protection Juridique de La Commune de Saint Alban Leysse",fns,cmp2006,appeloffre,initial,Commune de Saint Alban Leysse,73230,SAINT ALBAN LEYSSE,['Assurance'],[20],non,non
19-144622,2019-09-24,2019-10-15,['74'],Rénovation de la maison de la montagne,fns,cmp2006,appeloffre,initial,Commune de Megève,74120,MEGEVE,"['Isolation', 'Menuiserie', 'Serrurerie', 'Ventilation']","[169, 222, 321, 360]",non,non
19-144975,2019-09-24,2019-10-18,['74'],NETTOYAGE DE LA MAISON DE SANTE PLURIDISCIPLINAIRE,fns,cmp2006,appeloffre,initial,Ville de Marignier,74970,MARIGNIER,['Nettoyage de locaux'],[239],non,non
19-144785,2019-09-24,2019-10-23,['75'],"FOURNITURE, PARAMÉTRAGE ET MAINTENANCE D'UNE SOLUTION DE BILLETTERIE ET DE GESTION DE LA RELATION CLIENT POUR LE THÉÂTRE NATIONAL DE L'OPERA COMIQUE",fns,cmp2006,appeloffre,initial,Théâtre national de l'opéra comique,75002,Paris,"['Logiciel', 'Progiciel']","[186, 283]",non,non
19-145007,2019-09-24,2019-10-14,"['92', '75']",Fourniture d'équipement et moyen anti-inondation destinés à l'Agence Générale des Equipements et Produits de Santé,mapa,cmp2006,appeloffre,initial,ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,75005,Paris,"['Barrage', 'Equipements spécialisés']","[31, 115]",non,oui
19-144595,2019-09-24,2019-10-22,['51'],"Accord-cadre mono-attributaire à bons de commande porte sur la fourniture et l'acheminement d'électricité sur le territoire de l'EPTB Seine Grands Lacs, destinée à alimenter les points",fns,cmp2006,appeloffre,initial,EPTB Seine Grands Lacs,75012,Paris,"['Electricité, gaz (fourniture)']",[443],non,non
19-145193,2019-09-24,2019-10-15,"['75', '92', '94']",Prestations d'étalonnage des instruments de mesure,fns,cmp2006,appeloffre,rectificatif,EAU DE PARIS,75013,PARIS,['Equipement hydraulique'],[111],non,non
19-143840,2019-09-24,2019-10-25,"['75', '78', '77', '91', '92', '93', '94', '95']","ACCORD-CADRE RELATIF À LA TIERCE MAINTENANCE APPLICATIVE, À L'ASSISTANCE, A LA MAINTENANCE DES APPLICATIONS DU CISIRH ET AU DÉPLOIEMENT",joue,directive24,appeloffre,initial,CISIRH - MFCP,75013,Paris,['Informatique (prestations de services)'],[163],oui,non
19-144564,2019-09-24,2019-10-28,['30'],Le marché prendra effet à la date de notification pour une durée de 5 mois à compter de la notification du marché.,mapa,cmp2006,appeloffre,initial,Ministère de l'Intérieur,75020,Paris,['Sécurité incendie'],[332],non,oui
19-145075,2019-09-24,2019-10-28,"['75', '92']",Réalisation des travaux de création d un Service d Accueil Unique du Justiciable (SAUJ) au Tribunal de Grande Instance de Nanterre.  Le projet consiste à réaménager un quart du rez-de-chaussée du ..,fns,cmp2006,appeloffre,initial,MINISTERE DE LA JUSTICE,75181,Paris cedex 04,"[""Tous corps d'état""]",[345],oui,oui
19-145170,2019-09-24,2019-10-21,"['75', '71']",nettoyage des locaux administratifs et des espaces ouverts au public de l'abbaye de cluny et du musée d'art et d'archéologique de cluny.,fns,cmp2006,appeloffre,initial,Centre des monuments nationaux,75186,Paris,"['Monuments historiques', 'Nettoyage de locaux']","[236, 239]",non,non
19-144984,2019-09-24,2019-10-11,['75'],Accord-cadre relatif à la refonte du site internet de l'Ecole nationale supérieure des Beaux-Arts et à la création d'une application mobile.,fns,cmp2006,appeloffre,initial,Ensba,75272,Paris cedex 06,"['Informatique (prestations de services)', 'Site internet', 'Logiciel']","[163, 171, 186]",non,non
19-144740,2019-09-24,2019-10-07,['75'],Travaux de mise en conformité du système de désenfumage du bâtiment Colbert,fns,cmp2006,appeloffre,rectificatif,Ministères économiques et financiers,75572,Paris cedex 12,"[""Tous corps d'état""]",[345],non,non
19-144521,2019-09-24,2019-10-14,"['30', '13', '75']",Marché de Maitrise d'Oeuvre pour le réaménagement des ateliers du cnmn (rectificatif),fns,cmp2006,appeloffre,rectificatif,OPPIC,75647,Paris,"[""Maîtrise d'oeuvre"", ""Mission d'ordonnancement, pilotage, coordination (OPC)""]","[197, 234]",non,non
19-144683,2019-09-24,2019-10-30,['75'],"Le marché a pour objet la rédaction d'articles (journalisme) pour le "" digital "" de la Complémentaire Retraite des Hospitaliers (CRH).",fns,cmp2006,appeloffre,initial,C.G.O.S,75654,Paris cedex 13,['Site internet'],[171],non,non
19-144950,2019-09-24,2019-12-20,['76'],AUTOMATISATION DU PASSAGE A NIVEAU 331 SUR LE RESEAU FERROVAIRE PORTUAIRE DU GPMH,fns,cmp2006,attribution,initial,GPMH au Havre,76067,Le havre cedex,"['Automatisation', 'Matériel ferroviaire']","[14, 206]",non,non
19-144994,2019-09-24,2019-12-21,['76'],"La présente consultation a pour objet la fourniture de pièces de remplacement, dans le cadre des opérations de maintenance, des matériels de haute tension en place sur les différentes installations..",fns,cmp2006,attribution,initial,GPMH au Havre,76067,Le havre cedex,['Transformateur'],[346],non,non
19-144617,2019-09-24,2019-11-06,['76'],Sécurisation physique des sites d'eau potable,fns,cmp2006,appeloffre,initial,CU AGL HAVRAISE CANT CRIQUETOT ESNEVAL,76085,LE HAVRE,['Clôture'],[64],non,oui
19-143877,2019-09-24,2019-12-21,['76'],Prestations De Metallerie Pour L'Entretien Et La Reparation Des Bacs De Seine,joue,directive24,attribution,initial,Département de Seine Maritime,76101,Rouen Cedex,['Métallerie'],[223],non,oui
19-139076,2019-09-24,2019-10-16,"['28', '14', '27', '37', '41', '76', '78']",construction des installations techniques du cei de chartres,fns,cmp2006,appeloffre,initial,DIR-NORD-OUEST,76175,Rouen cedex 1,"['Abris', 'Bardage', 'Bâtiment', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Clôture', 'Couverture', 'Démolition', 'Electricité (travaux)', 'Espaces verts', 'Gros oeuvre', 'Métallerie', 'Panneaux', 'Peinture (travaux)', 'Plomberie (travaux)', 'Serrurerie', 'Signalétique', 'Terrassement', 'Ventilation', 'Voirie et réseaux divers', 'Porte automatique, portail', 'Amiante (désamiantage)']","[1, 30, 33, 57, 61, 63, 64, 74, 87, 105, 116, 144, 223, 261, 264, 270, 321, 333, 341, 360, 366, 412, 479]",non,non
19-144682,2019-09-24,2019-10-18,['76'],transformation d'une ancienne étable en atelier municipal,divers,autre,appeloffre,initial,Mairie de Blosseville sur mer,76460,blosseville,['Bâtiment'],[33],non,non
19-144757,2019-09-24,2019-10-25,"['76', '14']",marché public de prestations intellectuelles - schéma directeur d'alimentation en eau potable du siaepa de la région des grandes ventes,fns,cmp2006,appeloffre,initial,SIAEPA de la Région des Grandes Ventes,76950,Les Grandes Ventes,"['Alimentation en eau potable', 'Etude']","[6, 118]",non,non
19-144542,2019-09-24,2019-12-01,['77'],Elaboration d'un diagnostic fonctionnel de la RD 471 entre Croissy-Beaubourg et Lissy (entre les PR 2+125 et PR 25+035),fns,cmp2006,attribution,initial,Conseil général de Seine-et-Marne,77010,Melun cedex,['Etude'],[118],non,non
19-143916,2019-09-24,2019-10-25,['77'],AO_DT_lot1Tzen 2,joue,directive24,appeloffre,initial,Département de Seine-et-Marne,77010,Melun cedex,['Télécommunications'],[338],non,non
19-145137,2019-09-24,2019-10-24,['77'],RENOVATION DE LA MATERNITE POUR LE COMPTE DU CENTRE HOSPITALIER DU SUD SEINE ET MARNE,fns,cmp2006,appeloffre,initial,GPE HOSPITALIER DU SUD ILE DE FRANCE,77300,FONTAINEBLEAU,"['Climatisation', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Revêtements muraux']","[62, 222, 264, 269, 309]",non,non
19-144797,2019-09-24,2019-10-28,"['77', '45', '89', '75']","f_m42_2019 restauration des couvertures des pavillons intermédiaire, régence et sans nom",fns,cmp2006,appeloffre,initial,Château de Fontainebleau,77300,Fontainebleau,"['Charpente', 'Couverture', 'Echafaudage', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)']","[57, 74, 101, 195, 222, 264]",non,non
19-145040,2019-09-24,2019-11-25,['77'],Travaux d'entretien des menuiseries sur le patrimoine de Confluence Habitat - relance après déclaration sans suite,fns,cmp2006,attribution,initial,OPH MONTEREAU - CONFLUENCE HABITAT,77874,Montereau cedex,['Menuiserie'],[222],non,non
19-144807,2019-09-24,2019-11-30,"['78', '28', '92', '95']",Prestations de maintenance et des travaux sur les autocommutateurs (LOT 1) des juridictions de la Cour d'Appel de Versailles,fns,cmp2006,appeloffre,initial,cour d'appel de Versailles,78011,Versailles cedex,['Autocommutateur'],[23],oui,oui
19-144844,2019-09-24,2019-11-30,"['78', '28', '92', '95']",Prestation de maintenance et de travaux sur les autocommutateurs (LOT 2) du ressort de la Cour d'Appel de Versailles,fns,cmp2006,appeloffre,initial,cour d'appel de Versailles,78011,Versailles cedex,['Autocommutateur'],[23],oui,oui
19-145001,2019-09-24,2019-10-22,"['78', '75', '77', '91', '95']","Réalisations d'actions de formation sur la spécialité 'informatique et systèmes d'information' sous spécialité A7A : 'architecture, développement et administration des système",fns,cmp2006,appeloffre,initial,CNFPT - Délégation Grande Couronne IDF,78066,Saint quentin en yvelines cedex,['Formation'],[410],non,non
19-145028,2019-09-24,2019-10-22,"['78', '75', '77', '94', '91']","Réalisation d'actions de formation sur la spécialité Informatique et systèmes d'information, sous spécialité A7B réseaux et télécommunications pour le compte de la délégation de Grande Couro",fns,cmp2006,appeloffre,initial,CNFPT - Délégation Grande Couronne IDF,78066,Saint quentin en yvelines cedex,['Formation'],[410],non,non
19-145048,2019-09-24,2019-10-23,"['78', '95']",Services de location de bus avec chauffeur,fns,cmp2006,appeloffre,initial,COMMUNE D ACHERES,78260,ACHERES,"['Transport', 'Véhicules (location)']","[347, 474]",non,non
19-144821,2019-09-24,2019-10-25,['78'],"Prestations de maintenance, d'entretien et de rénovation des aires de jeux de la ville de Vernouillet",fns,cmp2006,appeloffre,initial,Ville de vernouillet,78540,Vernouillet,"['Jeux, jouets']",[175],non,non
19-144790,2019-09-24,2019-10-14,['78'],Numéro de la consultation : 1927MA ACHAT DE FOURNITURES DE BUREAU,fns,cmp2006,appeloffre,initial,COMMUNE DE CONFLANS SAINTE HONORINE,78700,CONFLANS SAINTE HONORINE,['Articles de bureau et articles scolaires'],[16],non,non
19-145212,2019-09-24,2019-11-04,['78'],Réalisation de prestations de transports en cars,fns,cmp2006,appeloffre,initial,ville d'Elancourt,78995,Elancourt,['Transport'],[347],non,non
19-144003,2019-09-24,2019-10-27,['80'],Prestation de services de développement et de maintenance de la solution informatique de gestion du Registre National des Véhicules (RNV) de l'EPSF.,joue,directive24,appeloffre,initial,EP Securité ferroviaire,80000,Amiens,"['Etude', 'Logiciel', 'Progiciel']","[118, 186, 283]",non,oui
19-144705,2019-09-24,2019-10-09,['80'],Fourniture d'un compteur bêta à scintillation,mapa,cmp2006,appeloffre,initial,UNIVERSITE AMIENS PICARDIE JULES VERNE,80025,AMIENS,['Prestations de services'],[274],non,non
19-144771,2019-09-24,2019-12-24,['80'],Formation initiale des accueillants familiaux pour le Département de la Somme,fns,cmp2006,attribution,initial,Conseil Départemental de la Somme,80026,Amiens,['Formation'],[410],non,non
19-144592,2019-09-24,2019-12-02,['80'],Restauration de documents darchives du Département de la Somme.,fns,cmp2006,appeloffre,rectificatif,Conseil Départemental de la Somme,80026,Amiens,['Prestations de services'],[274],non,non
19-144030,2019-09-24,2019-10-24,['80'],"RÉAMÉNAGEMENT ET DÉVELOPPEMENT DU PARC ZOOLOGIQUE D'AMIENS - AMÉNAGEMENT DES ZONES ASIATIQUE ET CÔTIÈRE - TROISIEME CONSULTATION - RELANCE DU LOT 11 "" AMENAGEMENT DU VIVARIUM """,fns,cmp2006,attribution,initial,Amiens Métropole,80027,Amiens,"['Bassin, étang', 'Etanchéité']","[28, 117]",non,non
19-144574,2019-09-24,2019-10-24,['80'],"Construction de consignes à vélos à la gare d'Amiens. 3 lots: clos couvert, électricité, équipement.",fns,cmp2006,attribution,initial,Amiens Métropole,80027,Amiens,"['Electricité (travaux)', 'Mobilier urbain']","[105, 231]",non,non
19-144524,2019-09-24,2019-10-24,['80'],Musées d'Amiens. Edition de deux guides: guide des collections et guide du musée.,fns,cmp2006,attribution,initial,Amiens Métropole,80027,AMIENS,"['Impression', 'Prestations de services', 'Reliure']","[160, 274, 302]",non,non
19-144881,2019-09-24,2019-12-22,['82'],etude de valorisation des biodéchets - Etat des lieux et démarches d'optimisation,mapa,cmp2006,attribution,initial,Grand Sud Tarn-et-Garonne,82370,LABASTIDE SAINT PIERRE,['Etude'],[118],non,non
19-145087,2019-09-24,2019-10-15,['83'],Maîtrise d'oeuvre pour le réaménagement de la rue saint joseph et de l'impasse des voûtes à brignoles,fns,cmp2006,appeloffre,initial,Var Aménagement Développement,83056,Toulon Cedex,"[""Maîtrise d'oeuvre"", ""Ouvrage d'infrastructure""]","[197, 253]",non,non
19-145090,2019-09-24,2019-10-24,['83'],"Service d'assurance dommages ouvrage pour le programme de construction PONT DE BOIS, à TOULON",mapa,cmp2006,attribution,initial,Toulon Habitat Méditerranée,83076,Toulon cedex,['Assurance'],[20],non,non
19-144867,2019-09-24,2019-10-16,['83'],"Marché de fourniture de carnets de santé de l'enfant (CERFA no 12593*02), de carnets de santé maternité (CERFA no 13139*02 et d'imprimés de demande d'agrément d'assistant(e) matern",fns,cmp2006,appeloffre,initial,Conseil Général du Var,83076,TOULON,['Imprimés'],[161],non,oui
19-143901,2019-09-24,2019-12-13,['83'],Location et maintenance d'une machine à affranchir le courrier avec convoyeur et balance,joue,directive24,appeloffre,initial,CAISSE NATIONALE MILITAIRE DE SECU SOC,83090,Toulon,['Location (matériels)'],[185],non,non
19-144883,2019-09-24,2019-10-10,['83'],Construction d'un Comptoir Culturel Maritime Odyssea (Capitainerie) et un centre de plongée relance Lot 6 Carrelage - Faïences,fns,cmp2006,appeloffre,rectificatif,COMMUNE DE SANARY SUR MER,83112,Sanary sur mer cedex,['Carrelage'],[53],non,non
19-144383,2019-09-24,2019-10-18,['83'],accord-cadre mono attributaire à bons de commande pour la confection de plateaux repas individuels en liaison froide sur 3 ans pour le c.c.a.s.,fns,cmp2006,appeloffre,initial,Commune de Brignoles,83170,Brignoles,"['Repas, traiteur']",[304],non,non
19-142821,2019-09-24,2019-10-09,['83'],relance du projet : équipement scénographique du hall des expositions en 3 lots pour la ville de brignoles.,fns,cmp2006,appeloffre,initial,Commune de Brignoles,83177,Brignoles Cedex,['Matériel scénique'],[216],non,non
19-144809,2019-09-24,2019-10-24,['83'],FOURNITURE D'UNE CHARGEUSE PELLETEUSE (89 Kw - 120 CV),fns,cmp2006,appeloffre,initial,SIVOM du Littoral des Maures,83240,Cavalaire sur Mer,"['Matériel de manutention', 'Plage']","[208, 289]",non,non
19-144646,2019-09-24,2019-10-17,['83'],Prestations de nettoyage des vitres des bâtiments de Cavalaire sur Mer et prestations annexes,mapa,cmp2006,appeloffre,initial,COMMUNE DE CAVALAIRE SUR MER,83240,Cavalaire sur Mer,"['Nettoyage de locaux', 'Prestations de services', 'Vitrerie']","[239, 274, 363]",non,non
19-144752,2019-09-24,2019-10-24,['83'],""" TRAITEMENT ET TRANSPORT DES BOUES ISSUES DE LA STATION D'EPURATION INTERCOMMUNALE PARDIGON EN CENTRE AGREE CONVENTIONNE PAR L'AGENCE DE L'EAU """,fns,cmp2006,appeloffre,initial,SIVOM du Littoral des Maures,83240,Cavalaire sur Mer,"[""Station d'épuration (exploitation)"", 'Transport']","[335, 347]",non,non
19-144784,2019-09-24,2019-10-17,['83'],Fourniture et livraison de végétaux pour les besoins du service des Espaces Verts de la commune de Cavalaire sur Mer,fns,cmp2006,appeloffre,initial,COMMUNE DE CAVALAIRE SUR MER,83240,Cavalaire sur Mer,['Végétaux'],[358],non,non
19-144573,2019-09-24,2019-10-14,['83'],ANIMATIONS ET AMÉNAGEMENT D'UN VILLAGE DE NOËL A L'OCCASION DES FÊTES DE FIN D'ANNÉE- 3 lots,fns,cmp2006,appeloffre,initial,Ville de la Seyne sur Mer,83500,La Seyne sur Mer,"['Matériel scénique', 'Aire de jeux', 'Spectacle']","[216, 400, 472]",non,non
