;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
222;19-120609;57036;Metz cedex 1;REGION GRAND EST;['Ascenseur'];restructuration et extension du lycée professionnel régional maryse bastié à hayange (57);non;directive24;joue;attribution;initial;non;2019-09-18
223;19-140326;57071;Metz;METZ METROPOLE;['Logiciel'];Achat et maintenance des licences des logiciels Varonis;non;directive24;joue;appeloffre;initial;non;2019-09-18
224;19-141737;57071;Metz;DREAL GRAND EST;"[""Ouvrage d'art"", ""Ouvrage d'infrastructure""]";rn4 - mise à 2x2 voies entre saint-georges et héming - réparation du pont de landange;non;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
225;19-140424;57072;Metz;SCE DEPARTEMENTAL INCENDIE ET SECOURS;['Véhicules (acquisition)'];Acquisition de véhicules de premiers secours;non;directive24;joue;appeloffre;initial;non;2019-09-18
226;19-140893;57151;MARLY CEDEX;ville de Marly;['Repas, traiteur'];Fourniture et livraison de repas (périscolaire / multi-accueil)(affaire 19S0012);non;directive24;joue;attribution;initial;non;2019-09-18
227;19-142090;57705;Hayange;COMMUNAUTE D AGGL DU VAL DE FENSCH;['Démolition'];Démolition du bâtiment industriel 'Le Modelage' ZAC de la Paix à Nilvange;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
228;19-141829;57970;Yutz;COMMUNAUTE AGGLO PORTES DE FRANCE;['Bardage', 'Charpente', 'Couverture', 'Sanitaire', 'Amiante (désamiantage)'];Extension du Dojo 'Schuman';non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
229;19-141247;58000;Nevers;Ville de Nevers;['Voirie et réseaux divers'];lot no2 - voirie réseaux divers dans le cadre de l'opération de renaturation et de requalification du site de l'ancienne piscine de la jonction à nevers;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
230;19-141961;58027;Nevers cedex;ADN Nevers;['Assainissement'];Vidange des équipements de prétraitement (fosse septique, fosse toutes eaux, bacs à graisses) et l'entretien des systèmes d'assainissement non collectif.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
231;19-141638;58033;Nevers Cedex;Centre Hospitalier de Nevers;['Maçonnerie'];sécurisation extérieure de l'ancien centre de gérontologie à pougues les eaux.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
232;19-141755;58033;Nevers Cedex;Centre Hospitalier de Nevers;['Maintenance', 'Pièces détachées'];maintenance des équipements de marque ngi/numerix et fourniture de pièces détachées/accessoires/consommables associés pour le centre hospitalier de l'agglomération de nevers;non;cmp2006;mapa;attribution;initial;non;2019-09-18
233;19-141903;58640;Varennes-vauzelles;Service départemental d'incendie et de;['Assainissement'];Travaux de reprise suite à dommages d'ouvrage au Centre de Secours de NEVERS SAINT ELOI - Installation d'une cuve de récupération des eaux de lavage VSAV;non;cmp2006;mapa;attribution;initial;non;2019-09-18
234;19-140987;59000;Lille;EuraTechnologies;['Assurance', 'Prestations de services'];Services d'assurances;non;directive24;joue;appeloffre;initial;non;2019-09-18
235;19-141792;59028;Lille;SDIS 59;['Audiovisuel'];Fourniture, installation et prestations associées de solutions audiovisuelles interactives pour le SDIS du Nord.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
236;19-142028;59034;Lille;D.I.S.P. Lille;['Nettoyage de locaux'];Le présent marché a pour objet de confier à un prestataire le nettoyage et la désinfection des évaporateurs et groupes froids des divers Etablissements du ressort de la DISP de Lille. La liste de c..;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
237;19-142147;59037;Lille cedex;CHU DE LILLE;['Electricité (travaux)'];Travaux de remplacement de la supervision SSI;non;cmp2006;fns;attribution;initial;non;2019-09-18
238;19-140984;59124;Escaudain;Ville d'Escaudain;['Ingénierie'];Concession d'aménagement de la résidence du collège à Escaudain.;non;directive23;joue;attribution;initial;oui;2019-09-18
239;19-142000;59132;TRELON;Residence du chemin Vert;['Etude'];Mise en place d'une démarche de Qualité de Vie au Travail en EHPAD;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
240;19-142083;59176;MASNY;Commune de Masny;['Eclairage public'];MODERNISATION ECLAIRAGE PUBLIC;non;cmp2006;fns;attribution;initial;non;2019-09-18
241;19-141793;59220;Denain;Ville de Denain;['Couverture'];TRAVAUX DE COUVERTURE DU CITY-STADE DANS LE CADRE DE LA RÉNOVATION/CONSTRUCTION DU GROUPE SCOLAIRE BERTHELOT A DENAIN;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
242;19-141807;59274;Marquillies;COMMUNE DE MARQUILLIES;['Gros oeuvre'];Travaux de réhabilitation et extension de la mairie;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
243;19-141643;59304;Valenciennes Cedex;Ville de Valenciennes;['Mobilier', 'Textile', 'Vaisselle', 'Matériel de puériculture'];fourniture, livraison de matériels de puériculture, de matériels de psychomotricité pour les structures d'accueil du jeune enfant de la ville de valenciennes;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
244;19-141688;59370;Mons en baroeul;Ville de Mons en Baroeul;['Menuiserie'];Construction de vestiaires au stade Michel Bernard - lot no8;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
245;19-141025;59386;Dunkerque cedex 1;Communauté Urbaine de Dunkerque;['Assistance technique', 'Prestations de services'];Diagnostics, préconisations et contrôles en matière de voirie;non;directive24;joue;appeloffre;initial;non;2019-09-18
246;19-141388;59416;Anzin cedex;Ville d'Anzin;['Démolition', 'Amiante (désamiantage)'];travaux de désamiantage et de démolition de logements insalubres.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
247;19-140351;59433;Halluin Cedex;COMMUNE D HALLUIN;['Abris', 'Prestations de services'];Accueil et mise en oeuvre de classes de découvertes .;non;directive24;joue;appeloffre;initial;non;2019-09-18
248;19-142015;59443;Wasquehal cedex;Noréade;['Prestations de services'];Prestations d'archivage;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
249;19-142149;59510;Hem;Ville de Hem;['Charpente', 'Chauffage (travaux)', 'Gros oeuvre', 'Peinture (travaux)', 'Revêtements de sols'];Marché de travaux selon la procédure adaptée pour la construction d'une salle d'exposition sur le site de la ferme Franchomme.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
250;19-141902;59611;FOURMIES CEDEX;Ville de Fourmies;['Location (matériels)'];LOCATION DE BATIMENTS MODULAIRES - ECOLE PRIMAIRE LOUIS ARAGON - RUE BOURET A FOURMIES;non;cmp2006;fns;attribution;initial;non;2019-09-18
251;19-141677;59716;Lille cedex 9;MSA Nord - Pas de Calais  ;['Formation'];Formation aux risques routiers;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
252;19-140263;59734;Saint-Amand-Les-Eaux Cedex;Ville de Saint-Amand-les-Eaux;"[""Maîtrise d'oeuvre""]";mission de maitrise d'oeuvre pour la requalification d'un ensemble immobilier situé au 7/9 rue des anges.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
253;19-142184;59777;Euralille;SPL EURALILLE;['Eclairage public', 'Espaces verts', 'Travaux de viabilité'];Travaux d'aménagement et de viabilisation des espaces publics du secteur des Halles au droit du Bazaar St Sau depuis la rue Camille Guérin.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
254;19-141678;59820;Gravelines;RGESL;['Boisson'];fournitures de boissons;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
255;19-140857;59874;Wambrechies cedex;COMMUNE DE WAMBRECHIES;['Assurance'];marché public d'assurances;non;directive24;joue;appeloffre;initial;non;2019-09-18
256;19-141898;59880;Saint-saulve;Ville de Saint-Saulve;"[""Assistance à maîtrise d'ouvrage""]";CONCESSION D'AMENAGEMENT ILOT MAIRIE;non;autre;dsp;rectificatif;rectificatif;non;2019-09-18
257;19-139831;60000;Beauvais;Département de l'Oise;"[""Ouvrage d'art""]";rd 62 - déviation de mogneville travaux relatifs aux ouvrages d'art (rectificatif);non;autre;joue;rectificatif;rectificatif;oui;2019-09-18
258;19-141800;60111;MERU CEDEX;COMMUNE DE MERU;['Equipement sportif', 'Terrain de sport'];Installation d'un city-stade rocade des Acacias à Méru;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
259;19-141086;60550;Verneuil en halatte;INERIS;['Gardiennage'];GARDIENNAGE des sites Ineris de Verneuil en Halatte et des locaux parisiens;non;directive24;joue;appeloffre;initial;oui;2019-09-18
260;19-81466;62000;Arras;COMMUNE D ARRAS;['Peinture (travaux)'];Travaux de peinture dans les bâtiments communaux;oui;directive24;joue;attribution;initial;non;2019-09-18
261;19-141732;62018;ARRAS CEDEX 9;Conseil départemental du Pas-de-Calais;['Voirie'];MPA3-LVMT-19S0466 - RD 943 CALAIS - PR 100 + 100 au PR 101 + 088 - Réalisation de massifs support de candélabres - lot unique;oui;cmp2006;fns;appeloffre;initial;non;2019-09-18
262;19-140500;62030;Arras cedex;Université d'Artois;['Prestations de services'];Mission de vérification périodique réglementaire ERP des équipements et installations de différents bâtiments de l'Université.;non;directive24;joue;appeloffre;initial;non;2019-09-18
263;19-141756;62030;Arras cedex;Université d'Artois;['Chauffage (travaux)', 'Couverture', 'Gros oeuvre', 'Menuiserie', 'Ventilation'];TRAVAUX DE CONSTRUCTION D UNE EXTENSION DU LABORATOIRE LSEE DE LA FACULTE DES SCIENCES APPLIQUEES DE BETHUNE;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
264;19-141001;62052;Saint-Laurent-Blangy cedex;SDIS 62;['Maintenance'];Maintenance des groupes électrocompresseurs;non;directive24;joue;attribution;initial;oui;2019-09-18
265;19-140869;62138;VIOLAINES;COMMUNE DE VIOLAINES;['Carrelage', 'Couverture', 'Electricité (travaux)', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)'];travaux de rehabilitation de la salle paul cezanne;non;directive24;joue;attribution;initial;non;2019-09-18
266;19-139335;62152;Neufchatel-Hardelot;Ville de Neufchatel-Hardelot;"[""Maîtrise d'oeuvre""]";mission de maîtrise d'oeuvre pour la requalification de l'ancien bureau de poste en centre culturel;non;directive24;joue;appeloffre;initial;non;2019-09-18
267;19-136581;62152;Neufchatel-Hardelot;Ville de Neufchatel-Hardelot;['Nettoyage de locaux'];prestation de nettoyage de locaux et de vitreries;non;directive24;joue;appeloffre;initial;non;2019-09-18
268;19-140581;62160;Bully les mines;ville de bully les mines;['Transport'];AOO 2019-04 TRANSPORTS OCCASIONNELS DE PERSONNES 2019-2023;non;directive24;joue;attribution;initial;non;2019-09-18
269;19-141699;62252;Hénin Beaumont Cédex;COMMUNE DE HENIN BEAUMONT;['Chauffage (travaux)', 'Couverture', 'Electricité (travaux)', 'Espaces verts', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Revêtements de sols', 'Sanitaire', 'Ventilation'];CONSTRUCTION D-UN RESTAURANT SCOLAIRE ET D-UN ACCUEIL PERISCOLAIRE A L-ECOLE ELEMENTAIRE PANTIGNY  - Hénin Beaumont;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
270;19-141945;62252;Hénin Beaumont Cédex;COMMUNE DE HENIN BEAUMONT;['Terrain de sport'];Réalisation de terrains multisports sur différents sites de la commune - Hénin Beaumont;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
271;19-141940;62252;Hénin Beaumont Cédex;COMMUNE DE HENIN BEAUMONT;['Chauffage (travaux)', 'Couverture', 'Electricité (travaux)', 'Espaces verts', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Revêtements de sols', 'Sanitaire', 'Ventilation'];CONSTRUCTION D-UN RESTAURANT SCOLAIRE ET D-UN ACCUEIL PERISCOLAIRE A L-ECOLE ELEMENTAIRE PANTIGNY  - Hénin Beaumont;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
272;19-141153;62300;Lens;Centre Hospitalier de Lens;"[""Produits d'entretien""]";fourniture d'articles de détergents et désinfectants ght artois;non;directive24;joue;appeloffre;initial;non;2019-09-18
273;19-140294;62300;LENS;Centre Hospitalier de Lens;['Consommables médicaux'];Fourniture de dispositifs médicaux stériles à usage unique;non;directive24;joue;appeloffre;initial;non;2019-09-18
274;19-141698;62300;Lens;Ville de lens;['Logiciel'];Acquisition, installation et mise en service de serveurs et mise en place d'un PRA;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
275;19-140866;62301;Lens;Musée du Louvre Lens;['Publicité, Communication'];Marché d'appui et de conseil pour la conception et la réalisation des campagnes de communication, et mise en oeuvre des campagnes de relations presse du Musée du Louvre-Lens;non;directive24;joue;appeloffre;initial;non;2019-09-18
276;19-142198;62303;Lens cedex;SMTC Artois-Gohelle;['Reprographie'];Le présent marché comprend la fourniture par voie de location, la livraison, l'installation, la maintenance et la mise en service de l'intégralité des photocopieurs multifonctions, destinés;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
277;19-140254;62321;Boulogne sur mer;Centre Hospitalier de Boulogne sur Mer;['Electroménager'];fourniture et installation d'équipements électroménagers pour le compte du ght côte d'opale;non;directive24;joue;attribution;initial;non;2019-09-18
278;19-140924;62321;Boulogne sur Mer Cedex;Cté d'agglomération du Boulonnais;['Collecte sélective', 'Verre'];Collecte des colonnes à verre;non;directive24;joue;attribution;initial;non;2019-09-18
279;19-141767;62321;BOULOGNE SUR MER;COMMUNE DE BOULOGNE SUR MER;['Bâtiment', 'Gros oeuvre'];Travaux de réaménagement des accueils publics et création d'un sas au CCAS de Boulogne sur Mer;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
280;19-140274;62340;GUINES;CC PAYS D OPALE;['Assurance'];Services d'assurances pour la Communauté de Communes du Pays d'Opale;non;directive24;joue;appeloffre;initial;non;2019-09-18
281;19-138465;62411;Béthune;CA DE BETHUNE BRUAY ARTOIS LYS ROMANE;['Assurance'];"souscription des contrats d'assurance "" dommages ouvrage et garanties diverses "" applicables à l'opération de construction suivante : construction d'un centre regional des arts martiaux";non;directive24;joue;appeloffre;initial;non;2019-09-18
282;19-140070;62600;Berck-sur-Mer;Ville de Berck sur Mer;"['Bois', 'Câblage', 'Carburant, hydrocarbure', 'Chauffage (matériel)', 'Chaussures ou articles chaussants', 'Eclairage public', 'Espaces verts', 'Habillement', 'Hygiène (articles)', 'Lubrifiants', 'Matériaux de construction', 'Matériaux routiers', 'Matériel agricole, horticole', 'Matériel électrique', 'Peinture (fourniture)', 'Pièces détachées', 'Pneumatiques', ""Produits de l'agriculture"", 'Quincaillerie (articles)', 'Matériel robinetterie', 'Sacs', 'Signalisation']";achat de fournitures et matériaux pour les services de la ville de berck-sur-mer;non;directive24;joue;attribution;initial;non;2019-09-18
283;19-141757;63000;Clermont-ferrand;UNIVERSITE CLERMONT AUVERGNE;['Informatique (matériel)'];"Acquisition de routeurs MPLS type "" PE (opérateur ou Métropolitain) ou CE, leur maintenance, ainsi que les éventuelles prestation de conseil associées.";non;cmp2006;fns;appeloffre;annulation;non;2019-09-18
284;19-140059;63000;Clermont-ferrand;CROUS de Clermont-Ferrand;['Ascenseur', 'Câblage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Démolition', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Mobilier', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', 'Sanitaire', 'Serrurerie', 'Ventilation', 'Zinguerie', 'Occultation', 'Amiante (désamiantage)'];Réhabilitation de la résidence universitaire amboise située à clermont-ferrand;non;directive24;joue;attribution;initial;non;2019-09-18
285;19-141259;63410;Manzat;CTE CMES COMBRAILLES SIOULE ET MORGE;['Voirie'];les ancizes comps, village de tournobert, aménagement de surface;non;cmp2006;fns;attribution;initial;non;2019-09-18
286;19-141694;63410;Manzat;CTE CMES COMBRAILLES SIOULE ET MORGE;['Voirie', 'Voirie et réseaux divers'];saint georges de mons - amenagement des espaces publics et des abords de la nouvelle pharmacie;non;cmp2006;fns;attribution;initial;non;2019-09-18
287;19-140435;64000;Pau Cedex;CA PAU BEARN PYRENEES;['Location (matériels)', 'Evénementiel'];Location de matériel scénique;non;directive24;joue;attribution;initial;non;2019-09-18
288;19-142200;64012;Pau cedex;UPPA;['Prestations de services'];Finalisation et transfert du modèle démo-génétique MEDITERRANEA d'aide à la décision pour la gestion évolutive chez la truite commune Laboaratoire ECOBIOP;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
289;19-140755;64012;Pau cedex;UPPA;['Couverture', 'Prestations de services'];Entretien périodique des toitures et couvertures de l'ensemble des campus de l'université de Pau et des pays de l'Adour;non;directive24;joue;attribution;initial;non;2019-09-18
290;19-140901;64100;Bayonne;commune de Bayonne;['Assurance'];Marché de service relatif à la prestation d'assurance pour les besoins de la Ville de BAYONNE;non;directive24;joue;appeloffre;initial;non;2019-09-18
291;19-141021;64700;Hendaye;GECT EUROREGION AQUITAINE EUSKADI;['Prestations de services', 'Sondage, enquête'];Réalisation d'une enquête sociolinguistique quantitative;non;directive24;joue;appeloffre;initial;non;2019-09-18
292;19-141770;65000;TARBES;VILLE DE TARBES;['Voirie'];AMENAGEMENT DE LA RUE BRAUHAUBAN OUEST PIETONNE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
293;19-141159;65013;Tarbes;DEPARTEMENT HAUTES-PYRENEES;['Déneigement'];Deneigement Et Deverglacage De La Voirie Departementale D'Acces A La Station De Peyragudes;non;directive24;joue;appeloffre;initial;non;2019-09-18
294;19-141775;65013;TARBES;DEPARTEMENT HAUTES-PYRENEES;['Informatique (assistance)'];Recrutement d'une assistance à maîtrise d'ouvrage préalable à la mise en place d'un système d'archivage électronique;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-18
295;19-140219;65420;ibos;S.M.T.D. 65;['Assurance'];marche d'assurance;non;directive24;joue;appeloffre;initial;non;2019-09-18
296;19-140404;66046;Perpignan cedex 09;Centre hospitalier de Perpignan;"[""Tous corps d'état""]";MARCHE A PROCEDURE ADAPTEE (M.A.P.A.) N°03 ST 19 ACCORDS-CADRES A BONS DE COMMANDE DE TRAVAUX;non;directive24;joue;appeloffre;initial;non;2019-09-18
297;19-141834;66250;Saint Laurent de la Salanque;Commune de St Laurent de la Salanque;['Colis', 'Denrées alimentaires'];Fourniture de denrées pour les colis de fin d'année 2019;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
298;19-140723;66351;Toulouges;sydetom-66;['Ordures ménagères (prestations)'];Groupement De Commandes Pour La Collecte/Vidage Et Transport Des Pav Omr Et Dmr Du Secteur De Perpignan Mediterranee;non;directive24;joue;appeloffre;initial;non;2019-09-18
299;19-141137;66351;Toulouges;sydetom-66;['Ordures ménagères (prestations)'];Vidage Des Pav Verre;non;directive24;joue;appeloffre;initial;non;2019-09-18
300;19-142021;67000;Strasbourg cedex;VILLE DE STRASBOURG;['Prestations de services'];"participation à l'organisation de la version "" off "" du forum mondial dela démocratie 2019 à strasbourg";non;cmp2006;fns;appeloffre;initial;non;2019-09-18
301;19-141681;67002;Strasbourg Cedex;Port Autonome de Strasbourg;['Démolition', 'Voies ferrées'];Extension du Terminal à Conteneurs Sud - Lot no2 : Dépose de Voies Ferrées et Repose d'une Voie de Continuité de Service;oui;cmp2006;fns;attribution;initial;non;2019-09-18
302;19-125372;67070;Strasbourg cedex;REGION GRAND EST;['Voyage'];réservation et achat de titres de transport et diverses prestations de voyagiste pour la région grand est;non;directive24;joue;appeloffre;initial;non;2019-09-18
303;19-140621;67073;Strasbourg;PREFECTURE DU BAS-RHIN;['Bâtiment'];2019MPGPCITE67;oui;directive24;joue;appeloffre;initial;oui;2019-09-18
304;19-141748;67076;Strasbourg cedex;VILLE DE STRASBOURG;['Etude'];Elaboration de profils de baignade sur des voies d'eau traversant le territoire de la ville de Strasbourg (rectificatif);non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
305;19-140834;67076;STRASBOURG CEDEX;Eurométropole de Strasbourg;['Informatique (prestations de services)'];Prestations d'assistance à maîtrise d'ouvrage pour l'étude d'un système de contrôle des accès et supervision des bâtiments;non;directive24;joue;appeloffre;initial;non;2019-09-18
306;19-141265;67100;Strasbourg;DIRECTION DEPARTEMENTALE TERRITOIRES;['Etude'];étude de l'aléa inondation dans les bassins versants de la sauer et du rhin à courant libre (annulation);non;cmp2006;fns;appeloffre;annulation;non;2019-09-18
307;19-141038;67964;Strasbourg;DEPARTEMENT DU BAS RHIN;['Electricité (travaux)'];construction d'une chaufferie biomasse au collège de brumath, reconsultation du lot 07 électricité;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
308;19-140847;68110;Illzach;Ville d'Illzach;"[""Produits d'entretien""]";fourniture et livraison de produits d'entretien et de matériels d'entretien pour le nettoyage des locaux communaux;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
309;19-140843;68130;ALTKIRCH;Communauté de Communes SUNDGAU;['Assurance'];Le présent marché est passé dans le cadre d'un groupement de commandes.Il a pour objet la souscription des contrats d'assurance des membres du groupement.;non;directive24;joue;appeloffre;initial;non;2019-09-18
310;19-140309;68160;Sainte marie aux mines;Institution les Tournesols;['Assurance'];prestations d'assurances pour les besoins de l'institution médico-sociale les tournesols;non;directive24;joue;appeloffre;initial;non;2019-09-18
311;19-141822;68500;Guebwiller;C.C. de la Région de Guebwiller;['Curage'];entretien courant des réseaux d'assainissement des eaux usées et des eaux pluviales (curage...);non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
312;19-142016;68700;Wattwiller;COMMUNE DE WATTWILLER;['Gros oeuvre'];Construction d'un pole de services;non;cmp2006;mapa;appeloffre;rectificatif;non;2019-09-18
313;19-136525;69003;Lyon cedex 03;Métropole de Lyon;['Espaces verts', 'Etude', 'Voirie et réseaux divers'];diagnostics et expertises des arbres sur le territoire de la métropole de lyon;non;directive24;joue;appeloffre;initial;non;2019-09-18
314;19-141062;69110;Sainte-Foy-Lès-Lyon;VILLE DE SAINTE-FOY-LES-LYON;['Restauration collective'];Accord-cadre restauration collective;non;directive24;joue;attribution;initial;oui;2019-09-18
315;19-140973;69200;Vénissieux;URSSAF Rhône-Alpes;['Mobilier'];Fourniture et installlation de mobiliers adaptés et services annexes.;non;directive24;joue;attribution;initial;oui;2019-09-18
316;19-140257;69205;Lyon cedex 01;Ville de Lyon;['Formation'];Formation à la sécurité incendie dans les établissements recevant du public;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
317;19-142081;69280;Marcy l'étoile;INST NAT TRAVAIL EMPLOI FORMATION PROF;['Transport'];FOURNITURE DE PRESTATIONS DE SERVICE DE TRANSPORT COLLECTIF;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
318;19-141850;69290;Saint Genis les Ollières;Ville de Saint Genis les Ollières;['Jeux, jouets', 'Mobilier'];AMENAGEMENT STRUCTURE PETITE ENFANCE - mobilier;non;cmp2006;mapa;attribution;initial;non;2019-09-18
319;19-141784;69330;JONAGE;COMMUNE DE JONAGE;['Chauffage (matériel)'];Construction d'une salle de danse sportiveChauffage ventilation climatisationplomberie sanitaires GTC;non;cmp2006;mapa;attribution;initial;oui;2019-09-18
320;19-141750;69347;Lyon cedex 07;DRSID Lyon;['Menuiserie'];Travaux de remplacement de fenêtres sur mesures et de brises soleil;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
321;19-140910;69372;Lyon cedex 08;Université Jean Moulin Lyon 3;['Automatisation'];UJM 2019-50;non;directive24;joue;attribution;initial;non;2019-09-18
322;19-140483;69372;Lyon cedex 08;Université Jean Moulin Lyon 3;['Mobilier'];UJM2020-01;non;directive24;joue;appeloffre;initial;oui;2019-09-18
323;19-140201;69436;Lyon cedex 03;CARSAT Rhône Alpes;['Prestations de services'];Accompagnement et réalisation du déménagement de la Carsat Rhône Alpes;non;directive24;joue;attribution;initial;non;2019-09-18
324;19-140269;69480;Anse;C.C. Beaujolais Pierres Dorées;['Assurance'];prestation de service d'assurance;non;directive24;joue;appeloffre;initial;non;2019-09-18
325;19-140087;69483;Lyon;DEPARTEMENT DU RHONE;['Logiciel'];Evolution de l'architecture des réseaux des systèmes d'information du Département du Rhône;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
326;19-140737;69505;Lyon;METROPOLE DE LYON;['Charpente', 'Couverture'];Travaux sur les biens immobiliers de la Métropole de LyonLot 4 Charpente - Couverture;non;autre;joue;rectificatif;rectificatif;oui;2019-09-18
327;19-136437;69505;Lyon cedex 03;Métropole de Lyon;"[""Assistance à maîtrise d'ouvrage""]";assistance à maîtrise d'ouvrage sur le volet développement économique du nouveau programme national de renouvellement urbain (npnru).;oui;directive24;joue;appeloffre;initial;non;2019-09-18
328;19-139142;69505;Lyon Cedex 03;Métropole de Lyon;['Prestations de services', 'Formation'];prévention des risques de chute liés au travail en hauteur;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
329;19-140806;69590;POMEYS;CC Monts du Lyonnais;['Nettoyage de locaux'];Entretien des locaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
330;19-142116;69616;Villeurbanne cedex;Institut Régional Administration Lyon;['Alarme', 'Menuiserie', 'Plâtrerie'];Travaux de rénovation du système de sécurité incendie;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
331;19-140607;69677;Bron cedex;Centre Hospitalier Le Vinatier;"[""Assistance à maîtrise d'ouvrage""]";Assistance à maîtrise d'ouvrage pour la rédaction de Plan Fonctionnel Détaillé de l'outillage Achat prioritaire des établissements de santé, la notation des offres du marchés et missions ann;non;directive24;joue;appeloffre;initial;non;2019-09-18
332;19-142158;70007;Vesoul Cedex;COMMUNAUTE D AGGLOMERATION DE VESOUL;['Voirie et réseaux divers'];Travaux d'aménagement de l'avenue des rives du Lac;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
333;19-141937;71000;Macon;SIE Mâcon et Environs;['Alimentation en eau potable'];Travaux de renouvellement, de renforcement et d'extension de réseau d'eau potable et ouvrages annexes;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
334;19-141079;71026;Mâcon cedex 9;Conseil Général de Saône-et-Loire;['Contrôle technique'];Vérifications périodiques règlementaires des sites du Département de Saône-et-Loire;non;directive24;joue;appeloffre;initial;non;2019-09-18
335;19-141995;71321;Chalon sur saône cedex;Ville de Chalon-sur-Saône;['Espaces verts'];Entretien des espaces verts de la Ville de Chalon-sur-Saône;oui;cmp2006;fns;appeloffre;initial;non;2019-09-18
336;19-138618;72002;LE MANS CEDEX1;DDFIP72;['Assistance juridique'];prestations d'huissiers de justice (PCA);non;directive24;joue;appeloffre;initial;non;2019-09-18
337;19-140168;72039;Le Mans;Ville du Mans;['Eclairage public', 'Matériel électrique', 'Matériel scénique'];Location, pose et dépose de décorations lumineuses - Accord cadre mono-attributaire conclu pour un an, renouvelable 3 fois;non;directive24;joue;attribution;initial;oui;2019-09-18
338;19-140430;73018;Chambery;DEPARTEMENT DE LA SAVOIE;"[""Mission d'ordonnancement, pilotage, coordination (OPC)""]";Mission Opc pour la construction du centre de conservation des collections départementales et de la plateforme logistique du Département à Chambéry;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
339;19-140532;73018;Chambery;DEPARTEMENT DE LA SAVOIE;['Prestations de services'];Mission de coordination Sps pour la construction du centre de conservation des collections départementales et de la plateforme logistique du Département à Chambéry;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
340;19-141993;73018;Chambéry;DEPARTEMENT DE LA SAVOIE;['Logiciel'];Mise en oeuvre d'un déploiement de capteurs autonomes IOT avec son système de supervision de performances énergétiques;non;cmp2006;fns;appeloffre;annulation;non;2019-09-18
