a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-133490,fns,cmp2006,appeloffre,initial,2019-09-03,1570229940000.0,2019-10-04,,['40'],,"renouvellement, extension, maintenance et prestations associées du système de vidéo-protection à Mont de Marsan",Ville de Mont de Marsan,,Service Commande Publique,,,2 Place du Général Leclerc - BP 305,40011,Mont de Marsan,,,,,marchespublics@montdemarsan.fr,http://www.montdemarsan.fr,https://marchespublics.landespublic.org,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[162, 362, 454]","['Informatique (matériel)', 'Vidéo, cinéma', 'Informatique (maintenance serveurs et réseaux)']",non,non
19-133218,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['40'],,REFECTION ET CREATION DE SIGNALISATION HORIZONTALE,COMMUNE DE BISCARROSSE,, le Maire,,,149 Avenue du 14 Juillet BP 40101,40601,BISCARROSSE,,05-58-83-40-40,,05-58-83-40-57,m.helias@ville-biscarrosse.fr,http://www.marches-publics.info,http://www.marches-publics.info,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[322],['Signalisation'],non,non
19-133143,mapa,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['40'],,FOURNITURE DE FLUIDES MOTEURS,COMMUNE DE BISCARROSSE,, le Maire,,,149 Avenue du 14 Juillet BP 40101,40601,BISCARROSSE,,05-58-83-40-40,,05-58-83-40-57,m.helias@ville-biscarrosse.fr,http://www.marches-publics.info,http://www.marches-publics.info,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[438],['Combustible'],non,non
19-133146,fns,cmp2006,appeloffre,initial,2019-09-03,1569409200000.0,2019-09-24,,['41'],,Fourniture de repas et de prestations traiteurs dans le cadres de journées de battues au Domaine national de Chambord,EP du domaine national de Chambord,,M. D'haussonville Jean,Service administratif et financier - gestion des marchés publics - Madame Christine Cousin,,Château de Chambord,41250,Chambord,,02-54-50-40-04,,,christine.cousin@chambord.org,http://www.chambord.org,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '17'}",[236],['Monuments historiques'],non,non
19-133396,mapa,cmp2006,attribution,initial,2019-09-03,,2019-11-02,,['42'],,DTE-DTE 2018-152 Etude de faisabilité de la construction d'un bâtiment médico-social et réhabilitation de locaux existants pour le HC GEORGES CLAUDINON,CHU SAINT ETIENNE,,"Mme PLANCHE-DEFRADE ALINE, CHU SAINT ETIENNE",,,HOPITAL BELLEVUE - CELLULE MARCHES,42055,Saint etienne cedex 02,,04-77-12-79-62,,04-77-12-73-15,ght.marchesjuristes@chu-st-etienne.fr,http://www.chu-st-etienne.fr,,,,,,,,,,,,[118],['Etude'],non,non
19-133463,fns,cmp2006,attribution,initial,2019-09-03,,2019-11-02,,['42'],,ETUDES DE PROGRAMMATION POUR LA REVITALISATION DES EHPAD DE L'HOPITAL DU GIER,CHU SAINT ETIENNE,,"Mme CHAIZE SANDRINE, CHU SAINT ETIENNE",,,HOPITAL BELLEVUE - CELLULE MARCHES,42055,Saint etienne cedex 02,,04-77-12-79-06,,04-77-12-73-15,ght.marchesjuristes@chuse.fr,http://www.chu-st-etienne.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[118],['Etude'],non,non
19-133414,fns,cmp2006,attribution,initial,2019-09-03,,2019-11-02,,['42'],,"DTE-DTE 2019-0059 Mission d'étude de Maitrise d'oeuvre (programme-APS-APD-ACT-DCE-EXE-DET-AOR) pour le réaménagement des services d'Exploration Fonctionnelle, d'Endoscopie, l'",CHU SAINT ETIENNE,,"Mme VETARD LAURENCE, CHU SAINT ETIENNE",,,HOPITAL BELLEVUE - SERVICE DES MARCHES,42055,Saint etienne cedex 02,,04-77-12-79-15,,04-77-12-73-15,laurence.vetard@chu-st-etienne.fr,http://www.chu-st-etienne.fr,http://www.marches-publics.gouv.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': '12'}",[455],['Ingénierie'],non,non
19-133538,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['42'],,UNIFICATION DES CHAUFFERIES DU CHATEAU DU JAREZ,Ville de Saint-Chamond,, Le Maire,,,Avenue Antoine Pinay BP 148,42400,Saint-Chamond,,,,,marches.publics@saint-chamond.fr,http://www.saint-chamond.fr,,,,,,,,,,,,[61],['Chauffage (travaux)'],non,non
19-131547,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-03,,['44'],,prestation de nettoyage du linge des personnes sans domicile,Ville de Nantes,,,Céline MOUSSION,FRG01,"Centre Communal d'Action Sociale 1, bis place Saint Similien",44036,Nantes cedex 1,,(+33) 2-40-41-51-16,,,celine.moussion@nantesmetropole.fr,http://www.nantes.fr,http://www.marchespublics.nantesmetropole.fr,,http://www.marchespublics.nantesmetropole.fr,http://www.marchespublics.nantesmetropole.fr,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[343],['Textile'],oui,non
19-133541,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['44'],,Maîtrise d'oeuvre - Commune de Joué-sur-Erdre - Restauration de la digue du Petit Vioreau,Conseil départemental Loire-Atlantique,,"M. GROSVALET Philippe, Le Président du Conseil départemental",,,"3, Quai Ceineray CS 94109",44041,NANTES,,02-40-99-10-00,,02-40-99-11-48,contact@loire-atlantique.fr,http://www.loire-atlantique.fr,https://marches.loire-atlantique.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '12'}","[91, 197, 253]","['Digue', ""Maîtrise d'oeuvre"", ""Ouvrage d'infrastructure""]",non,non
19-133500,fns,cmp2006,appeloffre,initial,2019-09-03,1570035600000.0,2019-10-02,,['44'],,Assistance à maîtrise d'ouvrage en vue d'une étude de programmation pour la reconstruction du collège la Durantière à Nantes.,Conseil départemental Loire-Atlantique,,"M. GROSVALET Philippe, Le Président du Conseil départemental",,,"3, Quai Ceineray CS 94109",44041,NANTES,,02-40-99-10-00,,02-40-99-11-48,contact@loire-atlantique.fr,http://www.loire-atlantique.fr,https://marches.loire-atlantique.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[433],"[""Assistance à maîtrise d'ouvrage""]",non,non
19-133122,fns,cmp2006,appeloffre,initial,2019-09-03,1570462200000.0,2019-10-07,,['44'],,CONSTRUCTION D'UN BATIMENT POUR LE CENTRE TECHNIQUE MUNICIPAL DU POULIGUEN (relance de 6 lots),Ville de Le Pouliguen,, Monsieur le Maire,,,"Ville de LE POULIGUEN Hôtel de Ville 17, rue Jules Benoît BP 122",44510,LE POULIGUEN,,(+33) 2-40-15-08-07,,(+33) 2-40-62-27-79,marchespublics@mairie-lepouliguen.fr,https://marchespublics-le-pouliguen.omnikles.com,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[144],['Gros oeuvre'],non,non
19-133358,fns,cmp2006,appeloffre,initial,2019-09-03,1570100400000.0,2019-10-03,,['44'],,"Le présent accord-cadre a pour objet la réalisation d'enquêtes auprès d'un échantillon représentatif de la population de la Région des Pays de la Loire et/ou la mise en place de groupes "" qu",Conseil régional des Pays de la Loire,,M. Le Président,Service de la commande publique et stratégie d'achat,,1 rue de la Loire,44966,Nantes cedex 9,,02-28-20-58-38,,,,https://www.paysdelaloire.fr,https://marchespublics.paysdelaloire.fr/,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '10'}",[274],['Prestations de services'],non,non
19-133147,mapa,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['45'],,Numéro de la consultation : 19MS11P valuation des politiques publiques en faveur de la lutte contre le décrochage des étudiants en 1ere année post-bac en Région Centre-Val de Loire,REGION CENTRE VAL DE LOIRE,," BONNEAU François, Président",,,"Direction des Achats et des Services Juridiques, CS 94117, 9 rue Saint Pierre Lentin",45041,ORLEANS,,02-38-70-30-30,,,dasj-marchespublics@regioncentre.fr,http://www.regioncentre-valdeloire.fr,http://achats.regioncentre-valdeloire.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133637,mapa,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['45'],,Etude préalable à la restauration du plan d'eau de Morchêne de Saint Cyr en Val,Orléans Métropole,, Le President,,,"Espace Saint Marc, 5 place du 6 juin 1944, CS 95801",45058,Orléans,,02-38-78-40-30,,,marches.publics@orleans-metropole.fr,http://www.orleans-metropole.fr,http://marches-publics.orleans.fr/accueil.htm,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[118],['Etude'],non,non
19-133201,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-16,,['45'],,"Le présent marché a pour objet la tierce maintenance applicative et évolutive, maintenance corrective et préventive pour les applications suivantes :· Le site internet de l'Observatoire Régional",B R G M,,"Mme Trouvé Sabine, Responsable achats",,,3 avenue Claude Guillemin - BP 36009,45060,Orléans,,,,,consultation@brgm.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,,[163],['Informatique (prestations de services)'],non,non
19-133279,fns,cmp2006,appeloffre,initial,2019-09-03,1569423600000.0,2019-09-25,,['45'],,Numéro de la consultation : 2019-29 Travaux d'extension du réseau eaux pluviales - route de Châtillon à AMILLY,COM D AGL MONTARGOISE ET RIVES LOING,," SUPLISSON Frank, Président",,,"1 rue du Fbg de la Chaussée, CS 10317",45125,MONTARGIS,,02-38-95-02-02,,02-38-95-02-29,marchespublics@agglo-montargoise.fr,http://www.agglo-montargoise.fr,http://www.marches-publics.info,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[18],['Assainissement'],non,non
19-133592,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-09-24,,['45'],,Réhabilitation d'un ancien collège en bâtiment d'accueil de services publics et associatifs,Ville de Meung-sur-Loire,,"Mme MARTIN Pauline, Maire",,,32 rue du Général de Gaulle,45130,Meung sur Loire,,02-38-46-94-94,,,mairie@meung-sur-loire.com,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[33],['Bâtiment'],oui,oui
19-133652,fns,cmp2006,appeloffre,initial,2019-09-03,1568804400000.0,2019-09-18,,['45'],,TRAVAUX D'EXTENSION DU GYMNASE DES PLANTES - RELANCE LOT 5 BARDAGE ZINC ET LOT 6 BARDAGE BOIS (SUITE A RESILIATION),Ville de Chécy,, Le Maire,,,11 place du Cloitre,45430,Chécy,,02-38-46-60-60,,,selabid@checy.fr,http://www.checy.fr,http://approlys.marches-publics.info/,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[30],['Bardage'],non,non
19-133598,fns,cmp2006,appeloffre,initial,2019-09-03,1569405600000.0,2019-09-25,,['47'],,CONTENEURS DE STOCKAGE DECHETS 2019/2023,AGGLOMERATION D AGEN,," DIONIS DU SEJOUR JEAN, Président",,,8 rue André Chénier BP 90045,47916,AGEN,,05-53-69-68-67,,,service.marches@agglo-agen.fr,http://www.agglo-agen.net/,https://www.agglo-agen.net/marches-publics,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[71],"['Conteneur, poubelles']",non,non
19-133589,fns,cmp2006,attribution,initial,2019-09-03,,2019-11-29,,['48'],,Acquisition de caissons à compaction pour plusieurs centres de transfert des déchets de Lozère,SDEE de la Lozère,, MALLET Aurélie,,,12 bd Henri Bourrillon,48000,MENDE,,04-66-65-77-78,,,a.mallet@sdee48.fr,http://sdee48.e-marchespublics.com,http://sdee48.e-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[34],['Benne'],non,non
19-133272,mapa,cmp2006,appeloffre,initial,2019-09-03,1569495600000.0,2019-09-26,,['49'],,Acquisition de deux robots industriels 6 axes,Université d'Angers,,"Mme CLOCHARD Catherine, Université d'Angers",,,40 rue de Rennes - BP 73532,49035,Angers cedex 01,,02-44-68-77-31,,02-44-68-77-04,marche.public@univ-angers.fr,http://www.univ-angers.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[215],['Matériel de précision'],non,non
19-133124,fns,cmp2006,appeloffre,initial,2019-09-03,1570618800000.0,2019-09-27,,['49'],,Désamiantage et déplombage - Cellule commerciale rue Schweitzer à Saumur (dép 49),Ville de Saumur,, Sylvia BOISNAY,,,CS 54030,49408,Saumur Cedex,,(+33) 2-53-93-50-75,,,commandes.publiques@agglo-saumur.fr,http://www.ville-saumur.fr,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[442, 479]","['Dépollution', 'Amiante (désamiantage)']",non,non
19-133069,fns,cmp2006,appeloffre,initial,2019-09-03,1570446000000.0,2019-10-07,,['30'],,construction de salles pédagogiques,I.F.C.E.,,Service achats,,,TerrefortBP 207,49411,Saumur,,,,,,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<CONCEPT_REALISATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'executionouvrage': None}, 'fournitures': None, 'service': None}","[30, 33, 53, 57, 61, 63, 74, 105, 144, 169, 222, 264, 270, 308, 309, 321, 360, 414]","['Bardage', 'Bâtiment', 'Carrelage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Isolation', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie', 'Ventilation', 'Occultation']",non,non
19-133656,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-20,,['51'],,Travaux d'extension de réseau d'eau potable pour alimenter le hameau du petit Baconnes et le hameau du lieu-dit du Moulin à vent,CA DE CHALONS EN CHAMPAGNE,," BOURG-BROC Bruno, Président",,,"Hôtel de Ville, Place Foch",51000,CHÂLONS-EN-CHAMPAGNE,,03-26-26-17-60,,,contact@chalons-agglo.fr,http://www.chalons-agglo.fr/,http://chalons-agglo.marches-publics.info/,,,,,,,,,,,"[6, 18]","['Alimentation en eau potable', 'Assainissement']",non,non
19-133578,mapa,cmp2006,appeloffre,initial,2019-09-03,1569852000000.0,2019-09-30,,['51'],,Réalisation d'une étude de faisabilité pour le regroupement de bureaux à Reims.,Voies navigables de France,,Mme au chef UTI L'Adjointe,,,76 rue de Talleyrand,51100,Reims,,,,,,http://www.vnf.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[33, 118]","['Bâtiment', 'Etude']",non,non
19-133204,mapa,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,['52'],,Remplacement des menuiseries extérieures de l'école élémentaire-.,commune de Froncles,, Patrice VOIRIN,,,Rue du Maréchal-Foch,52320,Froncles,,,,,,,https://www.xmarches.fr/entreprise/detailConsultation.php?key=11185,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[345],"[""Tous corps d'état""]",non,non
19-133338,fns,cmp2006,appeloffre,initial,2019-09-03,1570114800000.0,2019-10-02,,['54'],,"Fourniture, installation, mise en service de hottes dédiées à l'activité de fécondation in-vitro, consommables, accessoires et la maintenance associée destinés au laboratoire de Fécondation in Vi",CHRU de Nancy,," GROJEAN Charline, Direction des Achats du GHT Sud Lorraine - secteur marchés publics",,,29 avenue du Maréchal de Lattre de Tassigny - CO 60034,54035,Nancy cedex,,03-83-85-13-64,,,ch.grojean@chru-nancy.fr,http://www.chru-nancy.fr,https://www.marches-publics.gouv.fr,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[212],['Matériel médical'],non,non
19-133271,fns,cmp2006,appeloffre,initial,2019-09-03,1569322800000.0,2019-11-30,,"['55', '51', '52']",,Aménagement de 4 véhicules SMUR,CH Verdun Saint-Mihiel,, Schiltz Veronique,,,2 rue d'Anthouard,55107,VERDUN Cedex,,03-29-76-87-48,,,cellule-marches@pssm.fr,http://chvsm.e-marchespublics.com,http://chvsm.e-marchespublics.com,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[115],['Equipements spécialisés'],non,non
19-133190,fns,cmp2006,appeloffre,initial,2019-09-03,1570460400000.0,2019-10-07,,"['56', '44']",,Auray - 56 - Lycée Bertrand Du Guesclin - op 19VPGC- Rénovation du service restauration,SEMBREIZH,,"M. GOURIOU BRIGITTE, Sembreizh",,,39 rue de la Villeneuve,56103,Lorient,,02-97-64-78-90,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[345],"[""Tous corps d'état""]",non,non
19-133085,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-15,,['56'],,maitrise d'oeuvre pour la construction d'un nouveau bâtiment des services techniques,Ville de Larmor-plage,,Direction financière,,,4 avenue des 4 frères leroy quéret,56260,larmor-plage,,02-97-84-26-26,,,,http://www.larmor-plage.com,http://www.marches.megalisbretagne.org,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<CONCEPT_REALISATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'executionouvrage': None}, 'fournitures': None, 'service': None}",[197],"[""Maîtrise d'oeuvre""]",non,non
19-133390,fns,cmp2006,appeloffre,initial,2019-09-03,1569859200000.0,2019-09-30,,['56'],,"Création d'un giratoire et d'une voie verte zone de Manébos, à Lanester (Terrassement - Voirie)",Lorient Agglomération,,"M. METAIRIE Norbert, Président",,,Esplanade du Péristyle - CS 20001,56314,Lorient cedex,,02-90-74-71-95,,02-90-74-71-99,commande-publique@agglo-lorient.fr,https://www.lorient-agglo.bzh,https://marches.megalisbretagne.org,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[341],['Terrassement'],oui,non
19-133119,fns,cmp2006,appeloffre,initial,2019-09-03,1569927600000.0,2019-10-01,,['56'],,Entretien de l'éclairage public et des illuminations de fin d'année,Ville d'Auray,,"Joseph ROCHELLE, maire",,,Hôtel de Ville100 place de la RépubliqueBP 10610,56400,Auray,,02-97-24-01-23,,,marches.publics@ville-auray.fr,http://auray.fr,http://marches.megalisbretagne.org,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[102],['Eclairage public'],oui,oui
19-133486,fns,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,"['57', '67']",,Sarre canalisée - Bief no29 - Entretien du chenal de navigation,Voies navigables de France,,"M. Grebil Roland, Voies Navigables de France",,,1 rue de Steinbach,57216,Sarreguemines,,,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[345],"[""Tous corps d'état""]",non,non
19-133241,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-02,,['58'],,travaux de requalification et renaturation du site de l'ancienne piscine de la jonction de nevers - lot démolition,Ville de Nevers,,Monsieur le Maire,,,place de l'hôtel de VilleCS 9706,58000,Nevers,,03-86-68-44-87,,03-86-68-47-59,marches.publics@ville-nevers.fr,http://www.nevers.fr,http://www.e-bourgogne.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[87],['Démolition'],non,non
19-129061,fns,cmp2006,appeloffre,initial,2019-09-03,1568710800000.0,2019-09-17,,['58'],,Aménagement d'un centre d'examen du permis de conduire,D.D.T de la Nièvre,,Monsieur le Directeur Départemental des Territoires de la Nièvre (DDT58),,,2 rue des Pâtis BP 30069,58020,Nevers,,,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 53, 63, 105, 195, 270, 366, 412]","['Bâtiment', 'Carrelage', 'Cloison, faux plafond', 'Electricité (travaux)', 'Maçonnerie', 'Plomberie (travaux)', 'Voirie et réseaux divers', 'Porte automatique, portail']",non,non
19-133331,fns,cmp2006,appeloffre,initial,2019-09-03,1570460400000.0,2019-10-07,,['2'],,Mise aux normes electriques,SGAMI de Lille,,"M. LAMBLIN Emmanuel, SGAMI de LILLE",,,Cité administrative - 14ème étage - BP 2012,59012,Lille cedex,,03-20-62-49-42,,,,https://www.marches-publics.gouv.fr,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[203],['Matériel électrique'],non,non
19-133126,mapa,cmp2006,appeloffre,initial,2019-09-03,1569596400000.0,2019-09-30,,['59'],,Remplacement des menuiseries extérieurs aluminium,SGAMI de Lille,,"M. LAMBLIN Emmanuel, SGAMI de LILLE",,,Cité administrative - 14ème étage - BP 2012,59012,Lille cedex,,03-20-62-49-42,,,,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[222],['Menuiserie'],non,non
19-133234,fns,cmp2006,appeloffre,initial,2019-09-03,1570114800000.0,2019-10-03,,['59'],,"Travaux de mise en conformité, de modernisation et de rénovation des ascenseurs de la direction interrégionale de la police judiciaire (DIPJ) de Lille",SGAMI de Lille,,"M. Duhamel Benoit, SGAMI NORD",,,Cité administrative - 14ème étage - BP 2012,59012,Lille cedex,,03-20-62-49-73,,,benoit.duhamel@interieur.gouv.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=457091&orgAcronyme=g6l,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[17],['Ascenseur'],non,non
19-133316,mapa,cmp2006,appeloffre,initial,2019-09-03,1569837600000.0,2019-09-30,,['59'],,Marché de coordination en matière de sécurité et protection de la santé pour la construction du POLE SANTE CARVIN,CHU DE LILLE,,"Mme PIENCZAK Cindy, GHSC",,,CS70001,59037,Lille cedex,,,,,,http://chru-lille.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[19],['Assistance technique'],non,non
19-133320,mapa,cmp2006,appeloffre,initial,2019-09-03,1569837600000.0,2019-09-30,,['59'],,Marché de contrôle technique pour la construction du POLE SANTE CARVIN,CHU DE LILLE,,"Mme PIENCZAK Cindy, GHSC",,,CS70001,59037,Lille cedex,,,,,,http://chru-lille.fr,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[72],['Contrôle technique'],non,non
19-133507,fns,cmp2006,appeloffre,initial,2019-09-03,1570010400000.0,2019-10-02,,"['59', '62']",,MISE EN PLACE DE CENTRALES DE RENOUVELLEMENT D'AIR DANS LES BÂTIMENTS DE LA VILLE DE ROUBAIX,COMMUNE DE ROUBAIX,," Delbar Guillaume, Maire",,,"17 Grand place, CS70737",59066,ROUBAIX,,03-20-66-46-00,,,commandepublique@ville-roubaix.fr,http://www.ville-roubaix.fr/,http://agysoft.marches-publics.info/,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[360],['Ventilation'],non,non
